"upm","est_sel","ponde_2anios","estrato_rec","hwise_preocupa","hwise_disminucion","hwise_lavar_suficiente","hwise_cambio_planes","hwise_manos","hwise_banarse","hwise_beber","hwise_molesto","hwise_sed","hwise_apta","hwise_verguenza","hwise_alimentos","frec_agua_clean","escasez_clean","horas_z","temp_sin_agua_bin","almacena_tambo_no_tapa","almacena_cubeta_no_tapa","almacena_cubeta_con_tapa","almacena_tambo_con_tapa","gasto_z","ingreso_z","integrantes_z","agua_bin","indigena_d","mujer_jefa","HWISE_fs","CONT_fs","COPING_fs","Regimen"
200400013107,2000,194652974034639,"Metropolitano",2,2,1,1,1,1,1,1,1,1,1,1,3,1,0.905971760610157,0,1,0,0,0,-0.126848275752146,0.85795506800306,-0.188511872525493,1,0,1,-1.0785640860173,0.36963156293128,-0.137797710397871,"2"
200400013107,2000,194652974034639,"Metropolitano",1,1,1,1,1,1,1,1,1,1,1,1,5,1,0.905971760610157,0,0,0,0,1,-0.09138669154533,-0.0384449854949059,-1.44462324788302,1,0,1,-1.26603483870541,1.25727821844344,-0.153817529585878,"3"
200400013107,2000,194652974034639,"Metropolitano",1,1,1,1,1,1,1,1,1,1,1,1,5,1,0.905971760610157,0,1,0,0,0,0.688768161004632,-0.0384449854949059,-1.44462324788302,1,0,0,-1.28139465339724,1.27022689293673,-0.180997793464398,"3"
200400013107,2000,199289687824054,"Metropolitano",1,1,1,2,2,2,2,2,2,2,1,2,5,1,0.905971760610157,1,0,0,0,0,0.0504596452819358,-0.0384449854949059,-1.44462324788302,1,0,1,-0.523346419689038,1.24498325910952,-0.219536128126169,"3"
200400013107,2000,199289687824054,"Metropolitano",1,1,1,1,1,1,1,1,1,1,1,1,5,3,0.905971760610157,1,0,0,0,0,-0.183586810483053,0.85795506800306,-1.44462324788302,1,0,1,-1.30460040888146,1.54351169088557,-0.263824957061585,"3"
200400013107,2000,199289687824054,"Metropolitano",2,2,3,2,1,1,1,1,1,1,1,1,5,4,-1.3793113208688,1,1,0,0,0,0.475998655763733,0.85795506800306,-0.816567560204259,1,0,1,-0.536389481533135,1.05129744637937,-0.156109612590494,"3"
200400013107,2000,199289687824054,"Metropolitano",2,2,2,2,2,2,2,2,2,2,2,2,5,5,0.905971760610157,1,0,0,0,0,1.0433840030728,0.85795506800306,-0.816567560204259,1,0,0,-0.153863935382592,1.36183844382602,-0.217537504277519,"3"
200400013107,2000,199289687824054,"Metropolitano",1,1,1,1,1,1,1,1,1,1,1,1,5,5,0.905971760610157,1,1,0,0,0,0.475998655763733,0.85795506800306,-0.816567560204259,1,0,0,-1.30359835272531,1.60385538489608,-0.198374331553809,"3"
200400013107,2000,199289687824054,"Metropolitano",1,1,1,1,1,1,1,1,1,1,1,1,5,3,-0.399904285949248,1,0,0,0,0,-0.0204635231316971,0.85795506800306,-1.44462324788302,1,0,1,-1.29218895428494,1.36046942865278,-0.256445467588929,"3"
200400013107,2000,199289687824054,"Metropolitano",1,1,1,1,1,1,1,1,1,1,1,1,5,3,0.905971760610157,1,0,0,0,0,-0.09138669154533,-0.0384449854949059,-0.188511872525493,1,0,0,-1.30553119271831,1.56005650529286,-0.238506370156884,"3"
200400013107,2000,199289687824054,"Metropolitano",1,1,1,1,1,1,2,1,1,1,2,1,5,5,0.905971760610157,1,0,0,0,0,-0.09138669154533,-0.934845038992872,-1.44462324788302,1,0,0,-1.18501404209484,1.6332526772381,-0.241356078244593,"3"
200400013107,2000,199289687824054,"Metropolitano",2,2,1,1,1,1,1,1,1,1,1,1,5,1,0.905971760610157,1,0,0,0,0,-0.09138669154533,0.85795506800306,-0.816567560204259,1,0,0,-1.17271443202273,1.40132183674652,-0.247392813160416,"3"
200400013107,2000,199289687824054,"Metropolitano",3,3,1,1,1,1,1,1,1,1,1,1,5,5,0.905971760610157,0,1,0,0,0,-0.09138669154533,-0.0384449854949059,-0.816567560204259,1,0,0,-1.04125478229361,1.44561929443856,-0.173939004479862,"3"
200400013107,2000,199289687824054,"Metropolitano",1,1,1,1,1,1,1,1,1,1,1,1,5,5,0.905971760610157,1,0,0,0,0,-0.09138669154533,0.85795506800306,0.439543815153273,1,0,0,-1.31289335203044,1.67268432990112,-0.246973357235146,"3"
200400013107,2000,199289687824054,"Metropolitano",1,1,1,1,1,1,1,1,1,1,1,1,5,3,0.905971760610157,1,0,0,0,0,-0.0176265963951518,0.85795506800306,-1.44462324788302,1,0,0,-1.30760988822531,1.53732425199036,-0.263623545851968,"3"
200400013107,2000,199289687824054,"Metropolitano",1,1,1,1,1,1,1,1,1,1,1,1,5,4,0.905971760610157,1,0,0,0,0,-0.233233028372596,-0.934845038992872,-1.44462324788302,1,0,1,-1.30909792200485,1.6153851684195,-0.244134780456787,"3"
200400013107,2000,199289687824054,"Metropolitano",1,1,1,1,1,1,1,1,1,1,1,1,5,3,0.905971760610157,0,0,0,0,0,-0.162309859958963,-0.0384449854949059,-1.44462324788302,1,0,0,-1.29855369215139,1.43867355510491,-0.248348509016041,"3"
200400013107,2000,199289687824054,"Metropolitano",1,1,1,1,1,1,1,1,1,1,1,1,5,4,0.905971760610157,0,0,0,0,0,-0.0204635231316971,-0.934845038992872,-0.188511872525493,1,0,1,-1.30106078010266,1.52197746893108,-0.225632374420142,"3"
200400013107,2000,199289687824054,"Metropolitano",1,1,1,1,1,1,1,1,1,1,1,1,5,5,0.905971760610157,1,0,0,0,0,1.32707667672733,2.65075517499899,1.06759950283204,1,0,0,-1.32368100988249,1.65729133664022,-0.261594610832282,"3"
200400013107,2000,199289687824054,"Metropolitano",1,1,1,1,1,1,1,1,1,1,1,1,5,4,0.905971760610157,1,0,0,0,0,-0.275786929420776,-0.0384449854949059,-1.44462324788302,1,0,0,-1.30997440198738,1.60271992426362,-0.254962703740964,"3"
200400013107,2000,184634070959326,"Metropolitano",1,1,1,1,1,1,1,1,1,1,1,1,5,4,0.905971760610157,1,0,0,0,0,-0.126848275752146,-0.0384449854949059,-1.44462324788302,1,0,1,-1.30969862188283,1.60722430417007,-0.255101426867813,"3"
200400013107,2000,184634070959326,"Metropolitano",2,2,2,2,2,2,3,2,2,2,2,2,4,5,-1.48813432474875,0,0,0,0,0,0.0504596452819358,-0.934845038992872,-0.816567560204259,1,0,1,-0.0195135007082138,0.489098799764241,-0.158129642257745,"4"
200400013107,2000,184634070959326,"Metropolitano",2,2,2,2,2,1,1,1,1,1,1,2,5,5,-1.48813432474875,0,0,0,0,0,-0.09138669154533,-0.0384449854949059,-1.44462324788302,1,0,1,-0.538522091079915,1.03855437062554,-0.212094034143366,"3"
200400013107,2000,184634070959326,"Metropolitano",2,2,1,1,1,1,1,1,1,1,1,1,5,5,-0.0734352743093966,1,0,0,0,0,-0.162309859958963,-0.0384449854949059,0.439543815153273,1,0,1,-1.17585217810235,1.51840595882861,-0.226035542760924,"3"
200400013107,2000,184634070959326,"Metropolitano",2,1,1,1,2,1,1,1,1,1,1,1,5,5,0.905971760610157,1,0,0,0,0,-0.375079365199862,0.85795506800306,-0.816567560204259,1,0,1,-1.13982457346948,1.62243869645414,-0.255016826770285,"3"
300300011998,3000,66122036439235.5,"Metropolitano",2,2,2,2,2,2,2,2,2,2,2,2,3,1,-1.27048831698885,1,0,0,0,0,-0.09138669154533,-0.0384449854949059,-0.816567560204259,1,0,1,-0.0353013818857819,-0.0350017604935351,-0.149844175299317,"4"
300300011998,3000,66122036439235.5,"Metropolitano",1,3,3,3,3,3,3,3,3,3,3,4,3,3,-1.48813432474875,1,0,0,0,0,-0.09138669154533,-0.0384449854949059,-0.188511872525493,1,0,0,1.09461344978833,-0.232110177971755,-0.103827417517703,"1"
300300011998,3000,66122036439235.5,"Metropolitano",1,1,1,1,1,1,1,1,1,1,1,1,5,1,-0.944019305349,1,0,0,0,0,-0.09138669154533,1.75435512150103,-0.188511872525493,1,0,0,-1.2767308401426,1.17395002723259,-0.245522567696287,"3"
300300011998,3000,66122036439235.5,"Metropolitano",1,1,1,1,1,1,1,1,1,1,1,1,5,5,0.905971760610157,1,0,0,0,0,0.0504596452819358,-0.0384449854949059,-0.188511872525493,1,0,0,-1.31532820360717,1.67214557844652,-0.243029311829049,"3"
300300011998,3000,66122036439235.5,"Metropolitano",2,2,2,2,2,2,2,2,2,2,2,2,5,1,0.905971760610157,1,1,0,0,0,-0.197771444165779,-0.934845038992872,-0.816567560204259,1,0,0,-0.110621884325324,1.10691158682835,-0.124076468201886,"4"
300300011998,3000,66122036439235.5,"Metropolitano",2,2,2,2,2,2,2,2,2,2,2,2,3,3,-1.1616653131089,0,0,0,0,0,-0.233233028372596,-0.934845038992872,-0.188511872525493,1,0,1,-0.0351071168789077,0.00173333505465623,-0.132659987293138,"4"
300300011998,3000,64249185682499,"Metropolitano",1,1,1,1,1,1,1,1,1,1,1,1,5,5,-1.48813432474875,1,0,0,0,0,-0.09138669154533,0.85795506800306,-0.816567560204259,1,0,0,-1.28930404197822,1.32395948972782,-0.247647862628102,"3"
300300011998,3000,64249185682499,"Metropolitano",1,1,1,1,1,1,1,1,1,1,1,1,5,1,0.905971760610157,1,0,0,0,0,-0.09138669154533,0.85795506800306,0.439543815153273,1,0,0,-1.29576212236018,1.44698991423457,-0.237870998140576,"3"
300300011998,3000,64249185682499,"Metropolitano",1,1,1,1,1,1,1,1,1,1,1,1,5,5,-1.5969573286287,1,0,0,0,0,-0.09138669154533,0.85795506800306,-1.44462324788302,1,0,1,-1.28746360770641,1.30670616375391,-0.254276001483862,"3"
300300011998,3000,64249185682499,"Metropolitano",1,1,1,1,1,1,1,1,1,1,1,1,5,5,-1.48813432474875,0,0,0,0,0,-0.261602295738049,0.85795506800306,-0.816567560204259,1,0,1,-1.27813460149134,1.22315341516504,-0.243534106322789,"3"
300300011998,3000,64249185682499,"Metropolitano",2,2,1,1,1,1,2,1,1,1,1,1,3,5,0.905971760610157,0,0,0,0,0,-0.162309859958963,0.85795506800306,0.439543815153273,1,0,0,-1.05436750147272,0.634345522775448,-0.200160338175058,"3"
300300011998,3000,64032255079049.5,"Metropolitano",1,1,1,1,1,1,1,1,1,1,1,1,4,4,-0.399904285949248,0,0,0,0,0,-0.247417662055322,-0.0384449854949059,-0.816567560204259,1,0,1,-1.252176585973,0.882811831280673,-0.218514183989903,"3"
300300011998,3000,64032255079049.5,"Metropolitano",1,1,1,1,1,1,1,1,1,1,1,1,4,3,-0.617550293709148,0,0,0,0,0,-0.233233028372596,-0.0384449854949059,0.439543815153273,1,0,1,-1.24395110809639,0.81069643936692,-0.200867233203257,"3"
300300011998,3000,64032255079049.5,"Metropolitano",1,1,1,1,1,1,1,1,1,1,1,1,3,5,-0.399904285949248,1,0,0,0,0,-0.261602295738049,-0.0384449854949059,-0.816567560204259,1,0,0,-1.23238385742385,0.597783982311437,-0.207064042088594,"3"
300300011998,3000,66090414231469.5,"Metropolitano",1,1,1,1,1,1,1,1,1,1,1,1,3,1,-0.399904285949248,0,1,0,0,0,-0.247417662055322,2.65075517499899,-0.816567560204259,1,0,0,-1.19030240636916,0.191170059702224,-0.163976210253794,"2"
300300011998,3000,66090414231469.5,"Metropolitano",1,1,1,1,1,1,1,1,1,1,1,1,3,1,-0.399904285949248,0,0,0,0,0,-0.247417662055322,1.75435512150103,0.439543815153273,1,0,1,-1.20327709109057,0.269859150548559,-0.201642832513007,"2"
300300011998,3000,66090414231469.5,"Metropolitano",1,1,1,1,1,1,1,1,1,1,1,1,5,3,0.905971760610157,1,0,0,0,0,-0.247417662055322,0.85795506800306,-0.188511872525493,1,0,1,-1.30228506393591,1.55859861152078,-0.249693629532609,"3"
300300011998,3000,58730345373874,"Metropolitano",1,1,1,1,1,1,1,1,1,1,1,1,5,1,0.905971760610157,1,1,0,0,0,-0.233233028372596,1.75435512150103,-0.816567560204259,1,0,0,-1.27998729562405,1.3743593793879,-0.200400986652209,"3"
300300011998,3000,58730345373874,"Metropolitano",1,1,1,1,1,1,1,1,1,1,1,1,5,3,0.905971760610157,1,0,0,0,0,-0.162309859958963,0.85795506800306,-0.816567560204259,1,0,1,-1.30390450992884,1.55077085069832,-0.256748704093927,"3"
300300011998,3000,99302516332637,"Metropolitano",1,1,1,1,1,1,1,1,1,1,1,1,4,3,0.905971760610157,1,0,0,0,0,-0.304156196786229,-0.0384449854949059,-1.44462324788302,1,0,1,-1.27023240781437,1.10850526607079,-0.23498493722015,"3"
300300011998,3000,99302516332637,"Metropolitano",1,1,1,1,1,1,1,1,1,1,1,1,5,3,0.905971760610157,1,0,0,0,0,-0.234651491740868,0.85795506800306,-1.44462324788302,1,0,1,-1.30415710630211,1.54378461937023,-0.263835122696628,"3"
300300011998,3000,99302516332637,"Metropolitano",1,1,2,2,2,2,2,2,2,3,2,2,4,5,-1.05284230922895,1,0,0,0,0,-0.09138669154533,0.85795506800306,-1.44462324788302,1,0,1,-0.169751103417216,0.669354105685655,-0.199099897178595,"4"
